ID,CATEGORY,NAME,PLACE_ID,LAT,LNG,ICON,RATING,REFERENCE,TYPE
P070,GALLERIES,Matsya Loka Aquarium Gallery,ChIJl-pLdpMXrjsR-9wAlevL0Ow,13.0412376,77.5876252,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,3.9,ChIJl-pLdpMXrjsR-9wAlevL0Ow,"['museum', 'point_of_interest', 'establishment']"
P071,GALLERIES,Click Art Museum,ChIJ____AAoSrjsR57YtXD8oZWs,12.9572489,77.7450293,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.1,ChIJ____AAoSrjsR57YtXD8oZWs,"['museum', 'point_of_interest', 'establishment']"
P072,GALLERIES,"Jennard Galleries(Art Galleries in Bangalore,Galleries)",ChIJkQNFazEWrjsR66Q68xhNTqE,13.004565,77.577399,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJkQNFazEWrjsR66Q68xhNTqE,"['art_gallery', 'point_of_interest', 'establishment']"
P073,GALLERIES,Chitra Sante,ChIJl1LdKz4WrjsREeNO-QKA5ME,12.9894377,77.5816874,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.3,ChIJl1LdKz4WrjsREeNO-QKA5ME,"['museum', 'point_of_interest', 'establishment']"
P074,GALLERIES,Shades Creative Learning,ChIJra63XU4UrjsRMq7Cx5f4kxU,12.9367078,77.6151631,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,5,ChIJra63XU4UrjsRMq7Cx5f4kxU,"['art_gallery', 'museum', 'store', 'point_of_interest', 'establishment']"
P075,GALLERIES,Shalom Arts and Crafts,ChIJwXVsFtoWrjsRqMIayXPf05U,12.9980124,77.6478852,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3,ChIJwXVsFtoWrjsRqMIayXPf05U,"['art_gallery', 'museum', 'point_of_interest', 'establishment']"
P076,GALLERIES,Fear Tattoo Studio,ChIJ58mTYtsXrjsRCsmI6NWVn48,13.0281185,77.5714471,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,4.8,ChIJ58mTYtsXrjsRCsmI6NWVn48,"['art_gallery', 'museum', 'store', 'point_of_interest', 'establishment']"
P077,GALLERIES,Visvesvaraya Industrial & Technological Museum,ChIJqyoigt8VrjsRp_hKR5Y_1X8,12.9752264,77.5963449,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.6,ChIJqyoigt8VrjsRp_hKR5Y_1X8,"['museum', 'point_of_interest', 'establishment']"
P078,GALLERIES,Karnataka Chitrakala Parishath,ChIJzRxhID4WrjsRMW9WwS2aSzo,12.9891331,77.580568,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJzRxhID4WrjsRMW9WwS2aSzo,"['art_gallery', 'point_of_interest', 'establishment']"
P079,GALLERIES,Mahua- The Art Gallery,ChIJHVbghjYWrjsRIqRh_LqfGIc,13.005591,77.5816385,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.2,ChIJHVbghjYWrjsRIqRh_LqfGIc,"['art_gallery', 'point_of_interest', 'establishment']"
P080,GALLERIES,Venkatappa Art Gallery,ChIJKW2JvnAWrjsRUhxNZVxBjBc,12.9742357,77.5953023,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.1,ChIJKW2JvnAWrjsRUhxNZVxBjBc,"['art_gallery', 'point_of_interest', 'establishment']"
P081,GALLERIES,Gallery Sumukha,ChIJ27LMccUVrjsRxUulUOJ-M28,12.9534089,77.5943291,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.9,ChIJ27LMccUVrjsRxUulUOJ-M28,"['art_gallery', 'point_of_interest', 'establishment']"
P082,GALLERIES,Life on Wall Art Gallery,ChIJ5ekDVPERrjsRRL8T1CnB3Dc,12.979583,77.728371,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.4,ChIJ5ekDVPERrjsRRL8T1CnB3Dc,"['art_gallery', 'general_contractor', 'point_of_interest', 'establishment']"
P083,GALLERIES,Crimson Art Gallery,ChIJwwCLo2gWrjsRcgo78Q-NZxk,12.9850893,77.5956845,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.2,ChIJwwCLo2gWrjsRcgo78Q-NZxk,"['art_gallery', 'point_of_interest', 'establishment']"
P084,WILDLIFE,Bannerghatta Biological Park,ChIJsW0ZC-BprjsRXzqh_3gub08,12.800285,77.5770474,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.1,ChIJsW0ZC-BprjsRXzqh_3gub08,"['zoo', 'park', 'point_of_interest', 'establishment']"
P085,WILDLIFE,Wildlife hospital,ChIJL7ZvITo_rjsRL3MbAgGv5_I,12.9037204,77.4978164,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJL7ZvITo_rjsRL3MbAgGv5_I,"['point_of_interest', 'establishment']"
P086,WILDLIFE,Wildlife Rescue & Rehabilitation Centre - Admin Office,ChIJ_aIqvZcWrjsR-jXDxbwkFv0,12.981715,77.628559,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,1.8,ChIJ_aIqvZcWrjsR-jXDxbwkFv0,"['point_of_interest', 'establishment']"
P087,WILDLIFE,Wildlife Conservation Society - India,ChIJPU87eH8VrjsR1vj_IBtICm8,13.0693685,77.5825618,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJPU87eH8VrjsR1vj_IBtICm8,"['point_of_interest', 'establishment']"
P088,WILDLIFE,Avian and Reptile Rehabilitation Centre,ChIJwb048dEQrjsRsVkMCmJCjog,13.0205198,77.6581767,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.8,ChIJwb048dEQrjsRsVkMCmJCjog,"['point_of_interest', 'establishment']"
P089,WILDLIFE,WASI,ChIJQxxKuykUrjsRUTm4db3mpgE,12.9660941,77.6153919,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.7,ChIJQxxKuykUrjsRUTm4db3mpgE,"['point_of_interest', 'establishment']"
P090,WILDLIFE,Wildlife Rescue And Rehabilitation Centre (WRRC),ChIJten86T1qrjsR1AjQKDHyydE,12.802023,77.5862844,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.5,ChIJten86T1qrjsR1AjQKDHyydE,"['veterinary_care', 'point_of_interest', 'establishment']"
P091,WILDLIFE,Bison in Africa,ChIJWTstbtYVrjsRvvNW1nFaK6U,12.965577,77.6013041,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,5,ChIJWTstbtYVrjsRvvNW1nFaK6U,"['park', 'point_of_interest', 'establishment']"
P092,WILDLIFE,Bannerghatta Safari,ChIJNWVq8gFCrjsRsA77LtMNk8w,12.7826046,77.5569265,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.3,ChIJNWVq8gFCrjsRsA77LtMNk8w,"['point_of_interest', 'establishment']"
